Tiempo (s),Input (rpm),Setpoint (rpm),Output (PWM)
0.0002536773681640625,260.0,137.86,260.72
0.07841849327087402,260.0,137.86,259.78
0.14017367362976074,260.0,137.86,259.15
0.19960284233093262,260.0,137.86,261.36
0.2615795135498047,260.0,137.86,260.72
0.2978546619415283,260.0,137.86,259.78
0.33886194229125977,260.0,137.86,259.15
1.3828952312469482,260.0,137.86,261.36
1.5036306381225586,260.0,255.0,22.58
1.5363452434539795,260.0,50.0,27.25
1.567244052886963,260.0,50.0,30.89
1.6009485721588135,260.0,50.0,34.06
1.640326976776123,260.0,50.0,36.61
1.6776628494262695,260.0,255.0,41.29
1.7128207683563232,260.0,50.0,43.21
1.750990390777588,260.0,50.0,44.83
1.7888176441192627,260.0,50.0,46.74
1.8275160789489746,260.0,50.0,48.51
1.864882230758667,260.0,50.0,49.35
1.8989920616149902,260.0,255.0,53.0
1.9347188472747803,260.0,50.0,54.43
1.9864704608917236,260.0,50.0,55.73
2.0227866172790527,260.0,50.0,57.63
2.0588538646698,260.0,50.0,58.71
2.092327117919922,260.0,50.0,60.49
2.1321849822998047,260.0,255.0,76.09
2.169518232345581,260.0,50.0,75.61
2.2029359340667725,260.0,50.0,76.64
2.2330214977264404,260.0,50.0,76.86
2.264955997467041,260.0,50.0,77.22
2.302821397781372,260.0,255.0,95.74
2.339423894882202,260.0,50.0,94.71
2.372544765472412,260.0,50.0,94.84
2.4100823402404785,260.0,50.0,94.5
2.448913335800171,260.0,255.0,110.68
2.4877729415893555,260.0,50.0,108.82
2.5248043537139893,260.0,50.0,107.73
2.558027982711792,260.0,50.0,106.86
2.590852737426758,260.0,50.0,106.17
2.6239404678344727,260.0,255.0,123.23
2.655921459197998,260.0,50.0,121.21
2.6896235942840576,260.0,50.0,119.71
2.7211906909942627,260.0,50.0,118.13
2.752007007598877,260.0,255.0,134.37
2.7851428985595703,260.0,50.0,132.05
2.8170711994171143,260.0,50.0,130.84
2.8520162105560303,260.0,50.0,129.02
2.884493589401245,260.0,255.0,145.82
2.9174442291259766,260.0,255.0,160.94
2.9508042335510254,260.0,255.0,173.62
2.9914731979370117,260.0,255.0,187.11
3.0258007049560547,260.0,255.0,196.75
3.0603103637695312,260.0,255.0,206.02
3.0927042961120605,260.0,255.0,214.7
3.1295583248138428,260.0,255.0,222.74
3.1637094020843506,260.0,255.0,230.41
3.1984901428222656,260.0,255.0,237.57
3.2317352294921875,260.0,255.0,241.88
3.265526294708252,260.0,255.0,248.6
3.2984189987182617,260.0,255.0,254.22
3.331928014755249,260.0,255.0,257.91
3.3668127059936523,260.0,255.0,262.96
3.4022035598754883,260.0,255.0,266.26
3.4372541904449463,260.0,255.0,271.29
3.4726791381835938,260.0,255.0,272.69
3.5076708793640137,260.0,231.16,275.85
3.5432708263397217,260.0,231.16,275.85
3.580183267593384,260.0,231.16,279.44
3.6130383014678955,260.0,231.16,279.08
3.6489150524139404,260.0,215.66,280.17
3.682020902633667,260.0,215.66,282.01
3.7149903774261475,260.0,215.66,281.67
3.7492523193359375,260.0,215.66,284.26
3.782104015350342,260.0,200.65,282.76
3.81557559967041,260.0,200.65,284.64
3.8584983348846436,260.0,200.65,285.4
3.8961069583892822,260.0,200.65,283.9
3.944106101989746,260.0,194.62,283.91
3.9839937686920166,260.0,194.62,285.04
4.030578136444092,260.0,194.62,283.51
4.073963165283203,260.0,194.62,286.16
4.113668441772461,260.0,183.75,285.78
4.152559757232666,260.0,183.75,283.89
4.221139669418335,260.0,183.75,285.4
4.263357162475586,260.0,183.75,284.63
4.3100433349609375,260.0,179.38,284.67
4.355811834335327,260.0,179.38,285.03
4.402522563934326,260.0,179.38,282.39
4.452368497848511,260.0,179.38,283.13
4.49474573135376,260.0,175.38,282.77
4.536980152130127,260.0,175.38,281.65
4.577189922332764,260.0,175.38,282.77
4.622119903564453,260.0,175.38,282.01
4.666903018951416,260.0,171.08,282.03
4.714354038238525,260.0,171.08,282.76
4.758046388626099,260.0,171.08,280.54
4.801867246627808,260.0,171.08,282.76
4.85530161857605,260.0,163.59,282.02
4.905795335769653,260.0,163.59,280.92
4.950616121292114,260.0,163.59,280.55
4.993737697601318,260.0,163.59,278.71
5.039445161819458,260.0,164.89,281.28
5.093695640563965,260.0,164.89,279.44
5.1389453411102295,260.0,164.89,278.36
5.1843390464782715,260.0,164.89,279.11
5.2272021770477295,260.0,158.95,277.27
5.272726774215698,260.0,158.95,278.0
5.318331003189087,260.0,158.95,276.91
5.3634772300720215,260.0,158.95,276.9
5.407611608505249,260.0,157.82,276.9
5.451503276824951,260.0,157.82,275.86
5.498110771179199,260.0,157.82,276.55
5.5415685176849365,260.0,157.82,274.08
5.584517240524292,260.0,158.44,275.85
5.627761125564575,260.0,158.44,274.08
5.68695068359375,260.0,158.44,275.84
5.730417966842651,260.0,158.44,274.07
5.7775421142578125,260.0,154.57,274.43
