Tiempo (s),Input (rpm),Setpoint (rpm),Output (PWM)
0.0001709461212158203,0.0,33.86,261.71
0.07637476921081543,260.0,129.85,259.79
0.13280558586120605,260.0,129.85,260.4
0.19774293899536133,260.0,129.85,259.46
0.26063966751098633,260.0,129.85,259.13
1.562408208847046,260.0,50.0,18.6
1.6094646453857422,260.0,255.0,31.3
1.6422090530395508,260.0,50.0,34.54
1.6774659156799316,260.0,50.0,37.2
1.7124485969543457,260.0,50.0,39.75
1.753218412399292,260.0,50.0,42.07
1.7972750663757324,260.0,50.0,44.01
1.830991506576538,260.0,50.0,46.18
1.866379976272583,260.0,255.0,51.58
1.900953769683838,260.0,50.0,52.69
1.9371850490570068,260.0,50.0,54.04
1.979001522064209,260.0,50.0,55.26
2.0149664878845215,260.0,50.0,56.99
2.0618362426757812,260.0,50.0,58.61
2.100393295288086,260.0,255.0,77.47
2.135286808013916,260.0,50.0,77.36
2.2004897594451904,260.0,50.0,78.12
2.2499117851257324,260.0,50.0,78.87
2.2986502647399902,260.0,50.0,79.13
2.360710859298706,260.0,255.0,95.65
2.4100773334503174,260.0,50.0,95.22
2.45872163772583,260.0,50.0,95.39
2.506375789642334,260.0,50.0,95.26
2.559959888458252,260.0,50.0,95.05
2.6155269145965576,260.0,255.0,112.18
2.671186923980713,260.0,50.0,110.68
2.727846622467041,260.0,50.0,109.38
2.785471200942993,260.0,50.0,108.43
2.8446412086486816,260.0,255.0,126.28
2.902397871017456,260.0,50.0,123.8
2.9540488719940186,260.0,50.0,122.17
3.012411117553711,260.0,50.0,121.01
3.070754051208496,260.0,255.0,137.83
3.118903636932373,260.0,50.0,135.65
3.169001340866089,260.0,50.0,133.87
3.217968463897705,260.0,50.0,131.73
3.2667672634124756,260.0,50.0,129.97
3.31620192527771,260.0,255.0,148.96
3.365668535232544,260.0,255.0,163.15
3.414198398590088,260.0,255.0,176.91
3.4623289108276367,260.0,255.0,188.1
3.511279344558716,260.0,255.0,198.02
3.5608084201812744,260.0,255.0,208.64
3.609562873840332,260.0,255.0,216.66
3.6588752269744873,260.0,255.0,224.14
3.7069618701934814,260.0,255.0,232.92
3.7535831928253174,260.0,255.0,239.96
3.814815044403076,260.0,255.0,246.04
3.870417356491089,260.0,255.0,249.77
3.9217989444732666,260.0,255.0,257.28
3.980264663696289,260.0,255.0,261.67
4.032604217529297,260.0,255.0,264.91
4.087072372436523,260.0,255.0,270.96
4.136953353881836,260.0,228.07,271.98
4.182541608810425,260.0,228.07,273.38
4.230406045913696,260.0,228.07,276.55
4.275501251220703,260.0,228.07,276.93
4.319667100906372,260.0,210.4,280.19
4.365091323852539,260.0,210.4,278.71
4.419658899307251,260.0,210.4,282.03
4.463193893432617,260.0,210.4,282.02
4.506827116012573,260.0,193.26,282.02
4.5511415004730225,260.0,193.26,284.26
4.597815752029419,260.0,193.26,282.77
4.643360376358032,260.0,193.26,283.52
4.685778617858887,260.0,183.53,284.65
4.728675842285156,260.0,183.53,283.9
4.7728095054626465,260.0,183.53,285.79
4.81995415687561,260.0,183.53,285.02
4.866844177246094,260.0,173.4,283.92
4.915251731872559,260.0,173.4,285.79
4.9609458446502686,260.0,173.4,282.76
5.007969379425049,260.0,173.4,283.52
5.056755065917969,260.0,170.22,284.65
5.099107503890991,260.0,170.22,282.76
5.144268751144409,260.0,170.22,282.4
5.198821306228638,260.0,170.22,283.51
5.246017217636108,260.0,163.81,281.27
5.291604280471802,260.0,163.81,282.77
5.336178302764893,260.0,163.81,281.27
5.382192134857178,260.0,163.81,282.01
5.42841100692749,260.0,161.05,281.65
5.4748334884643555,260.0,161.05,279.8
5.519415616989136,260.0,161.05,281.28
5.566561937332153,260.0,161.05,279.44
5.613819360733032,260.0,161.32,279.44
5.660277366638184,260.0,161.32,280.56
5.706503629684448,260.0,161.32,279.08
5.751675367355347,260.0,161.32,279.82
5.798194169998169,260.0,155.07,278.35
5.844383478164673,260.0,155.07,279.09
5.89121413230896,260.0,155.07,278.36
5.93814754486084,260.0,155.07,276.2
5.9845640659332275,260.0,158.53,278.37
6.031934976577759,260.0,158.53,276.92
6.081626653671265,260.0,158.53,279.08
6.127440929412842,260.0,158.53,276.91
6.1765148639678955,260.0,152.35,276.21
6.224634885787964,260.0,152.35,276.92
6.272351980209351,260.0,152.35,274.43
6.323581695556641,260.0,152.35,277.28
6.379121780395508,260.0,146.81,274.78
6.425184488296509,260.0,146.81,276.21
6.47347617149353,260.0,146.81,274.07
6.520768404006958,260.0,146.81,273.72
6.579324245452881,260.0,150.82,274.07
6.625648021697998,260.0,150.82,273.37
6.681642532348633,260.0,150.82,273.38
6.739593982696533,260.0,150.82,272.0
6.788071632385254,260.0,151.29,273.39
6.836613416671753,260.0,151.29,271.65
6.8865861892700195,260.0,151.29,274.08
6.93436074256897,260.0,151.29,271.3
6.98095178604126,260.0,149.72,273.73
7.03956151008606,260.0,149.72,271.64
7.084215402603149,260.0,149.72,271.65
7.131978273391724,260.0,149.72,271.98
7.177614450454712,260.0,144.95,273.04
7.230580806732178,260.0,144.95,271.63
7.278404474258423,260.0,144.95,270.96
7.33188009262085,260.0,144.95,270.6
7.381616830825806,260.0,145.05,270.96
7.431410551071167,260.0,145.05,271.29
7.483895301818848,260.0,145.05,269.93
7.535455226898193,260.0,145.05,270.27
7.583846807479858,260.0,142.96,270.27
7.636332750320435,260.0,142.96,269.93
7.691123723983765,260.0,142.96,268.59
7.750206232070923,260.0,142.96,269.24
7.812158584594727,260.0,142.67,267.91
7.869344472885132,260.0,142.67,268.56
7.92850136756897,260.0,142.67,268.25
7.980619668960571,260.0,142.67,268.56
8.031281471252441,260.0,141.82,268.23
8.084323406219482,260.0,141.82,268.57
8.13784670829773,260.0,141.82,267.23
8.187602519989014,260.0,141.82,267.89
8.236305952072144,260.0,141.11,267.57
8.283079385757446,260.0,141.11,266.56
8.3290855884552,260.0,141.11,266.24
8.384521245956421,260.0,141.11,267.22
8.429223537445068,260.0,140.59,266.56
8.473991394042969,260.0,140.59,266.89
8.518127202987671,260.0,140.59,267.56
8.565085411071777,260.0,140.59,265.57
8.611211776733398,260.0,142.67,268.25
8.658192157745361,260.0,142.67,264.91
8.706442594528198,260.0,142.67,266.56
8.75344443321228,260.0,142.67,265.24
8.802239179611206,260.0,141.96,266.9
8.851234912872314,260.0,141.96,264.91
8.903672218322754,260.0,141.96,266.9
8.955540418624878,260.0,141.96,263.94
9.002999305725098,260.0,143.73,267.24
9.053021669387817,260.0,143.73,264.6
9.119552373886108,260.0,143.73,266.23
9.167616844177246,260.0,143.73,264.6
9.21608591079712,260.0,141.02,266.23
9.26521635055542,260.0,141.02,265.9
9.314073085784912,260.0,141.02,265.57
9.360885858535767,260.0,141.02,265.91
9.407240152359009,260.0,136.54,265.57
9.455671072006226,260.0,136.54,264.93
9.501848220825195,260.0,136.54,264.26
9.549184799194336,260.0,136.54,266.23
9.596479892730713,260.0,134.12,263.62
9.64377498626709,260.0,134.12,264.26
9.690709114074707,260.0,134.12,262.96
9.735631465911865,260.0,134.12,263.94
9.783543825149536,260.0,138.06,262.65
9.830939054489136,260.0,138.06,262.96
9.877365350723267,260.0,138.06,262.33
9.925123453140259,260.0,138.06,263.61
9.973326683044434,260.0,137.79,261.67
10.020493030548096,260.0,137.79,261.99
10.068979024887085,260.0,137.79,262.64
10.124452590942383,260.0,137.79,261.99
10.179970502853394,260.0,140.76,263.62
10.232118368148804,260.0,140.76,261.67
10.281104564666748,260.0,140.76,263.62
10.32614517211914,260.0,140.76,262.65
10.372401475906372,260.0,138.6,263.61
10.417329788208008,260.0,138.6,263.28
10.470393657684326,260.0,138.6,262.63
10.518730163574219,260.0,138.6,264.26
10.566512823104858,260.0,133.91,262.96
10.613450050354004,260.0,133.91,262.32
10.660229444503784,260.0,133.91,261.36
10.71284556388855,260.0,133.91,262.96
10.762096166610718,260.0,135.94,261.37
10.81074571609497,260.0,135.94,262.64
10.85752558708191,260.0,135.94,262.0
10.903750658035278,260.0,135.94,262.32
10.966411590576172,260.0,136.71,263.28
11.01287055015564,260.0,136.71,262.01
11.058032274246216,260.0,136.71,262.32
11.098433017730713,260.0,136.71,260.73
11.140952110290527,260.0,139.98,263.28
11.18337893486023,260.0,139.98,262.01
11.227373838424683,260.0,139.98,261.67
11.26989483833313,260.0,139.98,262.32
11.328547477722168,260.0,135.88,262.64
11.374104261398315,260.0,135.88,263.62
11.416922092437744,260.0,135.88,261.69
11.459949731826782,260.0,135.88,262.0
11.501770257949829,260.0,136.02,260.41
11.54961371421814,260.0,136.02,262.98
11.599381685256958,260.0,136.02,261.06
11.648700475692749,260.0,136.02,261.68
11.690646886825562,260.0,136.26,262.0
11.73238730430603,260.0,136.26,262.31
11.780037879943848,260.0,136.26,262.96
11.827166557312012,260.0,136.26,260.73
11.870371580123901,260.0,138.14,262.32
11.926701307296753,260.0,138.14,260.41
11.974472522735596,260.0,138.14,262.66
12.024648427963257,260.0,138.14,261.69
12.066585779190063,260.0,135.58,262.64
12.10847806930542,260.0,135.58,262.0
12.149229288101196,260.0,135.58,261.67
12.193033218383789,260.0,135.58,262.32
12.237366437911987,260.0,133.57,260.73
12.280445098876953,260.0,133.57,262.32
12.321945190429688,260.0,133.57,259.78
12.363484382629395,260.0,133.57,261.99
12.406011819839478,260.0,133.73,261.69
12.448487520217896,260.0,133.73,260.4
12.490452527999878,260.0,133.73,262.64
12.532329797744751,260.0,133.73,259.46
12.575150966644287,260.0,139.42,261.69
12.61762809753418,260.0,139.42,259.46
