Tiempo (s),Input (rpm),Setpoint (rpm),Output (PWM)
0.00012826919555664062,0.0,234.5,190.4
0.0584108829498291,190.0,234.5,190.4
0.08937454223632812,190.0,233.77,1902.0
0.13522005081176758,190.0,234.5,190.12
0.1650984287261963,190.0,234.5,189.58
0.1941542625427246,190.0,234.5,190.4
0.22071528434753418,190.0,234.5,190.4
1.245314121246338,190.0,233.77,190.0
2.1184189319610596,190.0,255.0,13.37
2.1511731147766113,190.0,50.0,16.58
2.1802725791931152,190.0,50.0,19.08
2.204552173614502,190.0,255.0,23.1
2.2291760444641113,190.0,50.0,24.69
2.253680467605591,190.0,50.0,26.11
2.2782270908355713,190.0,50.0,27.45
2.3028805255889893,190.0,50.0,28.8
2.3314225673675537,190.0,255.0,31.49
2.3560142517089844,190.0,50.0,32.28
2.3806655406951904,190.0,50.0,33.28
2.405229091644287,190.0,50.0,34.28
2.429871082305908,190.0,50.0,35.63
2.454350709915161,190.0,50.0,36.82
2.483647346496582,190.0,255.0,47.12
2.5077931880950928,190.0,50.0,47.29
2.5321497917175293,190.0,50.0,47.78
2.557037830352783,190.0,50.0,48.66
2.5835680961608887,190.0,50.0,49.28
2.6059083938598633,190.0,255.0,61.97
2.634739875793457,190.0,255.0,74.63
2.659226894378662,190.0,255.0,85.77
2.6838414669036865,190.0,255.0,95.69
2.7131950855255127,190.0,255.0,104.14
2.7411630153656006,190.0,255.0,112.68
2.7846031188964844,190.0,255.0,121.34
2.8168299198150635,190.0,255.0,127.61
2.849303722381592,190.0,255.0,133.88
2.8811497688293457,190.0,255.0,139.9
2.914736747741699,190.0,255.0,144.39
2.9488935470581055,190.0,255.0,148.64
2.982269048690796,190.0,255.0,152.99
3.0144667625427246,190.0,255.0,156.47
3.0457041263580322,190.0,255.0,160.1
3.077672243118286,190.0,255.0,163.72
3.1093242168426514,190.0,255.0,165.8
3.1408138275146484,190.0,255.0,169.0
3.1745455265045166,190.0,255.0,171.21
3.204864501953125,190.0,255.0,173.26
3.236694097518921,190.0,255.0,176.05
3.268404245376587,190.0,255.0,176.53
3.2999660968780518,190.0,255.0,178.7
3.332414388656616,190.0,255.0,180.92
3.3645310401916504,190.0,255.0,182.17
3.397475004196167,190.0,255.0,182.18
3.42964243888855,190.0,255.0,183.99
3.4618940353393555,190.0,255.0,185.28
3.493079900741577,190.0,255.0,186.6
3.5237181186676025,190.0,255.0,186.59
3.5546584129333496,190.0,255.0,187.13
3.586995840072632,190.0,255.0,187.69
3.6189818382263184,190.0,255.0,188.48
3.650885820388794,190.0,255.0,190.68
3.682245969772339,190.0,255.0,190.96
3.7135517597198486,190.0,255.0,191.53
3.7454192638397217,190.0,255.0,191.51
3.776663303375244,190.0,251.28,190.68
3.8081674575805664,190.0,251.28,190.13
3.838510513305664,190.0,251.28,190.97
3.8710482120513916,190.0,251.28,192.08
3.902899980545044,190.0,249.47,192.66
3.93434739112854,190.0,249.47,192.37
3.966323137283325,190.0,249.47,192.09
3.999048948287964,190.0,249.47,191.8
4.030879259109497,190.0,249.59,191.23
4.063281774520874,190.0,249.59,190.69
4.095332860946655,190.0,249.59,190.96
4.12389349937439,190.0,249.59,190.98
4.153848171234131,190.0,251.1,192.08
4.183525800704956,190.0,251.1,193.21
4.212737560272217,190.0,251.1,192.64
4.241825819015503,190.0,251.1,192.95
4.271378040313721,190.0,246.01,191.8
4.300849199295044,190.0,246.01,192.07
4.329970359802246,190.0,246.01,192.07
4.359547138214111,190.0,246.01,191.8
4.388661623001099,190.0,248.03,192.09
4.418220281600952,190.0,248.03,192.1
4.4488043785095215,190.0,248.03,192.37
4.47821831703186,190.0,248.03,192.93
4.507699489593506,190.0,244.76,192.93
4.536821126937866,190.0,244.76,192.67
4.566260576248169,190.0,244.76,192.93
4.5956597328186035,190.0,244.76,191.79
4.624478816986084,190.0,246.75,191.8
4.654726028442383,190.0,246.75,190.96
4.684208631515503,190.0,246.75,191.53
4.7139575481414795,190.0,246.75,192.08
4.743739366531372,190.0,245.54,193.22
4.772784471511841,190.0,245.54,192.36
4.804037570953369,190.0,245.54,193.22
4.833431959152222,190.0,245.54,192.08
4.86396336555481,190.0,244.97,192.36
4.8939619064331055,190.0,244.97,191.79
4.9239115715026855,190.0,244.97,191.51
4.9545392990112305,190.0,244.97,191.24
4.985686302185059,190.0,246.47,192.1
