Tiempo (s),Input (rpm),Setpoint (rpm),Output (PWM)
0.00021839141845703125,190.0,208.17,188.76
0.06109809875488281,190.0,208.17,189.58
0.09859466552734375,190.0,208.17,189.0
0.14219355583190918,190.0,206.38,188.23
0.1792926788330078,190.0,208.17,188.21
0.2083878517150879,190.0,208.17,188.76
0.23527169227600098,190.0,208.17,189.58
1.2641429901123047,190.0,208.17,189.0
1.5718169212341309,190.0,255.0,13.61
1.6066741943359375,190.0,50.0,16.61
1.6330327987670898,190.0,50.0,19.25
1.657594919204712,190.0,50.0,21.4
1.6822540760040283,190.0,255.0,24.43
1.7068400382995605,190.0,50.0,26.02
1.7355222702026367,190.0,50.0,27.47
1.7601020336151123,190.0,50.0,28.32
1.7846050262451172,190.0,50.0,29.65
1.8092682361602783,190.0,50.0,30.72
1.833747148513794,190.0,255.0,32.8
1.8584372997283936,190.0,50.0,33.95
1.8829975128173828,190.0,50.0,35.22
1.9122588634490967,190.0,50.0,36.39
1.9362199306488037,190.0,50.0,37.45
1.960688591003418,190.0,255.0,47.84
1.9854049682617188,190.0,50.0,47.84
2.0099098682403564,190.0,50.0,48.45
2.034365177154541,190.0,50.0,49.16
2.059077739715576,190.0,50.0,49.83
2.087744951248169,190.0,255.0,60.2
2.1122331619262695,190.0,50.0,59.76
2.1369388103485107,190.0,50.0,60.12
2.161656618118286,190.0,50.0,60.25
2.1866211891174316,190.0,50.0,60.59
2.2153995037078857,190.0,255.0,71.48
2.239290475845337,190.0,50.0,70.94
2.2639660835266113,190.0,50.0,70.75
2.2883028984069824,190.0,50.0,70.59
2.3131110668182373,190.0,255.0,81.45
2.3376286029815674,190.0,50.0,79.71
2.3669097423553467,190.0,50.0,79.32
2.3909833431243896,190.0,50.0,78.99
2.4154677391052246,190.0,255.0,89.29
2.4400062561035156,190.0,50.0,87.45
2.4647743701934814,190.0,50.0,86.28
2.489344358444214,190.0,50.0,85.44
2.5179824829101562,190.0,255.0,96.39
2.542255163192749,190.0,255.0,104.81
2.5711510181427,190.0,255.0,113.16
2.5956010818481445,190.0,255.0,121.68
2.624716281890869,190.0,255.0,128.62
2.6531589031219482,190.0,255.0,134.16
2.677536964416504,190.0,255.0,139.3
2.706456422805786,190.0,255.0,144.54
2.735150098800659,190.0,255.0,150.01
2.759552478790283,190.0,255.0,154.62
2.788219451904297,190.0,255.0,156.66
2.812689781188965,190.0,255.0,161.49
2.841367483139038,190.0,255.0,164.53
