Tiempo (s),Input (rpm),Setpoint (rpm),Output (PWM)
0.00019431114196777344,260.0,140.45,260.4
0.07158470153808594,260.0,140.45,261.36
0.11432814598083496,260.0,140.45,259.78
0.16643714904785156,260.0,140.45,0.41
0.2083594799041748,260.0,141.23,260.73
0.2519490718841553,260.0,140.45,260.4
0.2951087951660156,260.0,140.45,261.36
0.3330647945404053,260.0,140.45,259.78
1.4883766174316406,260.0,255.0,22.91
1.529686689376831,260.0,50.0,27.57
1.5691359043121338,260.0,50.0,31.28
1.6066334247589111,260.0,50.0,34.59
1.6444437503814697,260.0,50.0,37.2
1.6795265674591064,260.0,255.0,41.94
1.7147700786590576,260.0,50.0,43.98
1.751936435699463,260.0,50.0,45.7
1.7883210182189941,260.0,50.0,47.78
1.8251550197601318,260.0,50.0,49.6
1.8657774925231934,260.0,50.0,50.59
1.89924955368042,260.0,50.0,52.46
1.9343926906585693,260.0,50.0,54.16
1.972825527191162,260.0,255.0,68.61
2.0162785053253174,260.0,50.0,69.03
2.0580625534057617,260.0,50.0,70.23
2.094874143600464,260.0,50.0,70.83
2.133702516555786,260.0,50.0,71.95
2.1694862842559814,260.0,255.0,89.64
2.2042739391326904,260.0,50.0,88.85
2.2397375106811523,260.0,50.0,88.38
2.274456262588501,260.0,50.0,88.78
2.305624485015869,260.0,255.0,106.44
2.33695387840271,260.0,50.0,105.08
2.3767735958099365,260.0,50.0,104.42
2.4393882751464844,260.0,50.0,104.42
2.4889976978302,260.0,255.0,122.39
2.5433621406555176,260.0,50.0,120.4
2.595400094985962,260.0,50.0,118.46
2.6445915699005127,260.0,50.0,117.55
2.6916630268096924,260.0,255.0,134.7
2.7394251823425293,260.0,50.0,132.21
2.7894630432128906,260.0,50.0,130.04
2.8370954990386963,260.0,50.0,128.03
2.882758617401123,260.0,255.0,143.85
2.9287500381469727,260.0,50.0,141.29
2.975975275039673,260.0,50.0,138.82
3.0239458084106445,260.0,50.0,135.9
3.072023391723633,260.0,255.0,153.35
3.1191625595092773,260.0,255.0,166.58
3.1674365997314453,260.0,255.0,180.33
3.2200188636779785,260.0,255.0,191.29
3.271369695663452,260.0,255.0,200.99
3.324035882949829,260.0,255.0,210.48
3.38059663772583,260.0,255.0,219.31
3.428283214569092,260.0,255.0,226.51
3.4795119762420654,260.0,255.0,233.69
3.527658700942993,260.0,255.0,240.5
3.5771641731262207,260.0,255.0,246.05
3.6274642944335938,260.0,255.0,250.65
3.680332899093628,260.0,255.0,256.97
3.7308733463287354,260.0,255.0,258.2
3.7817561626434326,260.0,255.0,265.26
3.8293192386627197,260.0,255.0,267.91
3.885006904602051,260.0,255.0,271.99
3.9337995052337646,260.0,244.23,272.69
3.991245985031128,260.0,244.23,276.2
4.044817686080933,260.0,244.23,276.91
4.093185186386108,260.0,244.23,280.9
4.137140274047852,260.0,232.4,280.17
4.17956805229187,260.0,232.4,281.27
4.223592042922974,260.0,232.4,283.51
4.2665722370147705,260.0,232.4,283.51
4.310248851776123,260.0,223.39,283.89
4.355923891067505,260.0,223.39,285.78
4.400843143463135,260.0,223.39,284.26
4.448625326156616,260.0,223.39,287.71
4.492634296417236,260.0,212.12,287.7
4.537029027938843,260.0,212.12,285.79
4.581981658935547,260.0,212.12,288.87
4.633313179016113,260.0,212.12,288.09
4.6794140338897705,260.0,202.94,286.56
4.725625991821289,260.0,202.94,289.65
4.773736238479614,260.0,202.94,288.47
4.824612855911255,260.0,202.94,286.55
4.875165224075317,260.0,195.37,288.48
4.919891357421875,260.0,195.37,288.09
4.971078872680664,260.0,195.37,285.8
5.016663312911987,260.0,195.37,288.09
5.061925649642944,260.0,185.52,287.31
5.108001708984375,260.0,185.52,285.4
5.156817197799683,260.0,185.52,287.33
5.207568168640137,260.0,185.52,286.16
5.251885890960693,260.0,178.3,285.41
5.305986642837524,260.0,178.3,286.56
5.3532795906066895,260.0,178.3,285.4
5.4122490882873535,260.0,178.3,284.65
5.466187953948975,260.0,171.31,284.65
5.512771844863892,260.0,171.31,283.13
5.564724445343018,260.0,171.31,282.76
5.612333297729492,260.0,171.31,282.76
5.660732984542847,260.0,165.15,280.9
5.709263324737549,260.0,165.15,282.39
5.755534648895264,260.0,165.15,280.92
5.802657604217529,260.0,165.15,280.19
5.850763320922852,260.0,160.2,281.28
5.898511648178101,260.0,160.2,279.08
5.9455885887146,260.0,160.2,280.18
5.993468999862671,260.0,160.2,278.35
6.041067123413086,260.0,155.41,278.34
6.089895009994507,260.0,155.41,277.63
6.136830568313599,260.0,155.41,276.57
6.1835856437683105,260.0,155.41,277.28
6.230148792266846,260.0,150.52,274.78
6.2765562534332275,260.0,150.52,275.48
6.331796169281006,260.0,150.52,273.37
6.378933429718018,260.0,150.52,273.03
6.426171541213989,260.0,148.83,273.72
6.475048780441284,260.0,148.83,273.04
6.5223610401153564,260.0,148.83,272.33
